Date,Concentration
10/02/2016,259.32
11/02/2016,217.94
12/02/2016,195.95
13/02/2016,144.72
14/02/2016,89.88
15/02/2016,123.25
16/02/2016,140.72
17/02/2016,131.96
18/02/2016,161.68
19/02/2016,215.13
20/02/2016,192.62
21/02/2016,68.91
22/02/2016,95.13
24/02/2016,79
25/02/2016,176.66
29/02/2016,161.77
01/03/2016,356.83
02/03/2016,304.3
03/03/2016,221.37
06/03/2016,104.28
07/03/2016,121.11
08/03/2016,83.45
09/03/2016,87.39
10/03/2016,237.02
16/03/2016,63.99
17/03/2016,92.3
20/03/2016,83.04
21/03/2016,73
22/03/2016,47.18
23/03/2016,56.23
25/03/2016,113.87
26/03/2016,49.63
28/03/2016,57.7
29/03/2016,116.77
30/03/2016,65.7
03/04/2016,130.57
04/04/2016,189.79
06/04/2016,73.23
07/04/2016,144.64
08/04/2016,106.55
09/04/2016,281.63
10/04/2016,178.61
11/04/2016,69.18
12/04/2016,55.27
13/04/2016,65.27
14/04/2016,115.68
15/04/2016,215.19
17/04/2016,146.69
18/04/2016,121.75
19/04/2016,153.43
20/04/2016,131.76
21/04/2016,75.63
24/04/2016,39.65
25/04/2016,148.12
26/04/2016,212.23
27/04/2016,310.69
28/04/2016,263.6
29/04/2016,242.4
03/05/2016,164.2
04/05/2016,96.93
05/05/2016,60.63
06/05/2016,64.25
07/05/2016,106.59
08/05/2016,95.79
09/05/2016,77.15
10/05/2016,76.51
11/05/2016,64.32
12/05/2016,115.38
13/05/2016,130.16
14/05/2016,140.23
15/05/2016,137.92
16/05/2016,119.83
17/05/2016,89.38
18/05/2016,120.19
19/05/2016,86.62
20/05/2016,67.89
21/05/2016,64.06
30/05/2016,98.48
31/05/2016,136.97
01/06/2016,121.75
02/06/2016,129.37
03/06/2016,246.8
04/06/2016,275.76
05/06/2016,100.69
06/06/2016,131.91
07/06/2016,97.68
08/06/2016,78.25
09/06/2016,77.15
10/06/2016,87.71
11/06/2016,98.96
12/06/2016,109.71
13/06/2016,115.36
14/06/2016,72.44
15/06/2016,110.89
16/06/2016,49.84
17/06/2016,62.47
18/06/2016,59.45
19/06/2016,58.83
20/06/2016,53.37
21/06/2016,44.56
22/06/2016,55.67
23/06/2016,71.93
24/06/2016,123.19
25/06/2016,81.85
26/06/2016,64.83
27/06/2016,64.17
28/06/2016,54.15
29/06/2016,37.29
30/06/2016,53.83
01/07/2016,56.61
02/07/2016,46.52
03/07/2016,67.04
04/07/2016,51.51
05/07/2016,89.04
06/07/2016,68.13
07/07/2016,34.57
08/07/2016,47.45
09/07/2016,41.42
10/07/2016,55.9
11/07/2016,45.1
12/07/2016,52.71
13/07/2016,87.4
15/07/2016,55.73
16/07/2016,36.3
17/07/2016,42.59
18/07/2016,41.31
19/07/2016,61.13
20/07/2016,77.8
21/07/2016,90.47
22/07/2016,64.72
23/07/2016,40.39
24/07/2016,83.24
25/07/2016,97.64
26/07/2016,63.22
27/07/2016,42.92
28/07/2016,52.83
29/07/2016,59.82
30/07/2016,48.19
31/07/2016,46.38
01/08/2016,43.61
02/08/2016,48.69
03/08/2016,43.27
04/08/2016,42.97
05/08/2016,40.75
06/08/2016,46.14
07/08/2016,47.81
10/08/2016,37.45
11/08/2016,22.94
12/08/2016,50.79
13/08/2016,95.01
14/08/2016,55.95
16/08/2016,95.75
17/08/2016,74.36
18/08/2016,54.36
19/08/2016,64.6
20/08/2016,35.59
21/08/2016,20.84
22/08/2016,25.81
23/08/2016,37.47
24/08/2016,29.32
25/08/2016,57.1
26/08/2016,58.1
28/08/2016,48.6
29/08/2016,65.81
30/08/2016,55.79
31/08/2016,29.86
01/09/2016,41.68
02/09/2016,54.83
03/09/2016,60.9
04/09/2016,81.69
05/09/2016,57.56
06/09/2016,61.41
07/09/2016,67.06
08/09/2016,65.48
09/09/2016,81.23
10/09/2016,56.4
11/09/2016,60.75
12/09/2016,54.63
13/09/2016,70.67
14/09/2016,50.26
15/09/2016,90.87
