Date,Concentration
20/11/2015,871.21
21/11/2015,1126.75
22/11/2015,1086.99
23/11/2015,1790.75
24/11/2015,1254.86
25/11/2015,748.17
26/11/2015,969.14
27/11/2015,891
28/11/2015,415.42
29/11/2015,918.68
30/11/2015,874.16
01/12/2015,632.58
02/12/2015,705.04
03/12/2015,738.87
04/12/2015,888.55
05/12/2015,919.42
06/12/2015,722.27
07/12/2015,775.9
08/12/2015,1020.59
09/12/2015,732.24
10/12/2015,516.74
11/12/2015,605.3
12/12/2015,608.3
13/12/2015,660.26
14/12/2015,622.46
22/12/2015,853
23/12/2015,872.13
24/12/2015,587.98
25/12/2015,569.24
26/12/2015,526.6
27/12/2015,566.13
28/12/2015,521.1
29/12/2015,599.77
30/12/2015,823.98
31/12/2015,680.02
01/01/2016,751.85
02/01/2016,616.44
03/01/2016,653.93
04/01/2016,692.26
05/01/2016,843.19
06/01/2016,745.07
07/01/2016,742.25
08/01/2016,727.35
09/01/2016,476.08
10/01/2016,519.8
11/01/2016,681.16
12/01/2016,560.1
13/01/2016,510.49
14/01/2016,475.71
15/01/2016,344.5
16/01/2016,299.33
17/01/2016,386.68
18/01/2016,672.07
19/01/2016,566.72
20/01/2016,531.77
21/01/2016,422.96
22/01/2016,466.73
23/01/2016,544.08
24/01/2016,586.09
25/01/2016,510.62
26/01/2016,569.33
27/01/2016,532.39
28/01/2016,652.46
29/01/2016,761.23
30/01/2016,581.17
03/02/2016,276.57
04/02/2016,366.11
05/02/2016,449.07
06/02/2016,487.63
07/02/2016,254.05
08/02/2016,214.24
09/02/2016,276.22
10/02/2016,315.87
11/02/2016,287.12
12/02/2016,331.95
13/02/2016,321.17
14/02/2016,219.75
15/02/2016,202.09
16/02/2016,178.12
17/02/2016,212.37
18/02/2016,197.94
19/02/2016,294.01
20/02/2016,276.5
21/02/2016,270.78
22/02/2016,118.19
24/02/2016,351.26
25/02/2016,288.16
01/03/2016,409
02/03/2016,524.17
03/03/2016,295.47
06/03/2016,162.62
07/03/2016,190.57
08/03/2016,162.5
09/03/2016,291.4
10/03/2016,425.97
16/03/2016,273.48
17/03/2016,192.59
20/03/2016,239.37
21/03/2016,206.07
22/03/2016,307.64
23/03/2016,260.13
25/03/2016,280.33
26/03/2016,226
28/03/2016,203.56
29/03/2016,237.21
30/03/2016,224.71
03/04/2016,331.83
04/04/2016,509.75
06/04/2016,225.64
07/04/2016,375.46
08/04/2016,227.01
09/04/2016,304.07
10/04/2016,168.45
11/04/2016,293.86
12/04/2016,299.37
13/04/2016,329.51
14/04/2016,305.67
15/04/2016,413.65
17/04/2016,403.58
18/04/2016,343.1
19/04/2016,379.57
20/04/2016,431.08
21/04/2016,406.31
24/04/2016,299.43
25/04/2016,397.03
26/04/2016,531.95
27/04/2016,822.6
28/04/2016,559.29
29/04/2016,632.51
03/05/2016,490.23
04/05/2016,423.18
05/05/2016,350.77
06/05/2016,301.99
07/05/2016,400.46
08/05/2016,356.1
09/05/2016,278.54
10/05/2016,330.05
11/05/2016,191.91
12/05/2016,488.98
13/05/2016,527.89
14/05/2016,477.06
15/05/2016,550.11
16/05/2016,513.77
17/05/2016,507.36
18/05/2016,507.56
19/05/2016,349.2
20/05/2016,299.4
21/05/2016,421.31
30/05/2016,283.82
31/05/2016,454.58
01/06/2016,593.05
02/06/2016,665.84
03/06/2016,560.34
04/06/2016,484.81
05/06/2016,276.47
06/06/2016,310.33
07/06/2016,286.96
08/06/2016,235.45
09/06/2016,287.62
10/06/2016,407.68
11/06/2016,510.85
12/06/2016,683.96
13/06/2016,555.61
14/06/2016,407.2
15/06/2016,514.8
16/06/2016,161.84
17/06/2016,202.79
18/06/2016,202.42
19/06/2016,162.59
20/06/2016,134.73
21/06/2016,94.69
22/06/2016,177.55
23/06/2016,209.09
24/06/2016,636.51
25/06/2016,226.97
26/06/2016,149.69
27/06/2016,164.84
28/06/2016,167.36
29/06/2016,94.65
30/06/2016,184.53
01/07/2016,215.21
02/07/2016,210.13
03/07/2016,143.03
04/07/2016,142.4
05/07/2016,372.39
06/07/2016,219.47
07/07/2016,120.73
08/07/2016,137.58
09/07/2016,142.69
10/07/2016,160.79
11/07/2016,99.16
12/07/2016,85.75
13/07/2016,141.42
15/07/2016,380.69
16/07/2016,57.32
17/07/2016,61.17
18/07/2016,158.46
19/07/2016,432.21
20/07/2016,591.12
21/07/2016,633.71
22/07/2016,278.25
23/07/2016,105.14
24/07/2016,215.08
25/07/2016,286.56
26/07/2016,134.99
27/07/2016,66.49
28/07/2016,94.84
29/07/2016,90.5
30/07/2016,73.99
31/07/2016,80.06
01/08/2016,73.38
02/08/2016,72.72
03/08/2016,114.95
04/08/2016,129.75
05/08/2016,130.06
06/08/2016,124.6
07/08/2016,128.46
10/08/2016,91.26
11/08/2016,31.42
12/08/2016,107.14
13/08/2016,176.11
14/08/2016,138.87
15/08/2016,449.94
16/08/2016,620.72
17/08/2016,520.4
18/08/2016,264.04
19/08/2016,294.24
20/08/2016,142.22
21/08/2016,117.57
22/08/2016,156.67
23/08/2016,152.71
24/08/2016,168.98
25/08/2016,214.07
26/08/2016,153.01
28/08/2016,271.63
29/08/2016,296.19
30/08/2016,105.64
31/08/2016,58.4
01/09/2016,72.75
02/09/2016,216.04
03/09/2016,489.41
04/09/2016,622.15
05/09/2016,541.98
06/09/2016,553.75
07/09/2016,525.22
08/09/2016,518.04
09/09/2016,522.2
10/09/2016,436.06
11/09/2016,352.93
12/09/2016,356.36
13/09/2016,366.39
14/09/2016,210.61
15/09/2016,371.3
16/09/2016,379.96
17/09/2016,413.86
18/09/2016,292.57
19/09/2016,269.2
20/09/2016,611.73
21/09/2016,315.3
22/09/2016,100.61
23/09/2016,228.22
24/09/2016,170.31
25/09/2016,239.67
26/09/2016,325.35
27/09/2016,190.74
28/09/2016,452.95
29/09/2016,266.9
30/09/2016,362.81
01/10/2016,350.75
02/10/2016,342.69
03/10/2016,343.23
04/10/2016,404.38
05/10/2016,254.67
06/10/2016,375.12
07/10/2016,518.61
08/10/2016,604.48
09/10/2016,572
10/10/2016,559.56
11/10/2016,599.32
12/10/2016,567.65
13/10/2016,594.45
14/10/2016,600.69
15/10/2016,625.41
16/10/2016,614.07
17/10/2016,623.72
18/10/2016,617.94
19/10/2016,606.96
20/10/2016,679.8
21/10/2016,658.44
22/10/2016,637.73
23/10/2016,685.31
24/10/2016,652.43
25/10/2016,529.39
26/10/2016,650.38
27/10/2016,789.48
28/10/2016,655.72
29/10/2016,712.26
30/10/2016,1877.67
31/10/2016,846.94
01/11/2016,988.29
02/11/2016,1209.04
03/11/2016,1059.58
04/11/2016,1182.77
05/11/2016,1403.58
06/11/2016,1650.65
07/11/2016,1132.2
08/11/2016,744.55
09/11/2016,860.59
10/11/2016,625.48
11/11/2016,630.27
12/11/2016,597.75
13/11/2016,611.66
14/11/2016,551.9
15/11/2016,1013.55
16/11/2016,967.93
17/11/2016,655.65
18/11/2016,890.57
19/11/2016,1042.81
20/11/2016,1399.45
21/11/2016,1146.77
22/11/2016,974.16
23/11/2016,816.73
24/11/2016,1017.05
25/11/2016,665.07
26/11/2016,572.67
27/11/2016,675.85
28/11/2016,627.29
29/11/2016,999.84
30/11/2016,595.05
01/12/2016,620.96
02/12/2016,773.09
03/12/2016,964.3
04/12/2016,1197.75
05/12/2016,996.86
06/12/2016,782.84
07/12/2016,580.57
08/12/2016,548.22
09/12/2016,695.88
10/12/2016,299.33
11/12/2016,689.53
12/12/2016,816.11
13/12/2016,653.98
14/12/2016,468.57
15/12/2016,618.09
16/12/2016,704.15
17/12/2016,693.95
18/12/2016,648.79
19/12/2016,657.21
20/12/2016,397.14
21/12/2016,512.37
22/12/2016,729.41
23/12/2016,998.57
24/12/2016,807.88
25/12/2016,399.61
26/12/2016,400.5
27/12/2016,576.83
28/12/2016,705.58
29/12/2016,568.59
30/12/2016,347.85
31/12/2016,338.38
01/01/2017,357.39
02/01/2017,521.74
03/01/2017,558.62
04/01/2017,460.71
05/01/2017,510.76
06/01/2017,322.4
07/01/2017,181.74
08/01/2017,315.07
09/01/2017,414.74
10/01/2017,436.99
11/01/2017,504.61
12/01/2017,675.81
13/01/2017,607.19
15/01/2017,530.45
16/01/2017,403.06
17/01/2017,315.36
18/01/2017,387.63
19/01/2017,329.65
20/01/2017,282.27
23/01/2017,520.68
24/01/2017,669.74
25/01/2017,494.65
26/01/2017,188.29
27/01/2017,87.75
28/01/2017,161.14
29/01/2017,194.59
30/01/2017,364.74
31/01/2017,413.25
01/02/2017,381.46
02/02/2017,690.02
03/02/2017,749.11
04/02/2017,450.6
05/02/2017,332.46
06/02/2017,518.74
07/02/2017,356.64
08/02/2017,560.32
09/02/2017,481.26
10/02/2017,385.31
11/02/2017,481.44
12/02/2017,322.05
13/02/2017,435.86
14/02/2017,503.54
15/02/2017,577.55
16/02/2017,394.95
17/02/2017,413.36
18/02/2017,427.67
19/02/2017,571.92
20/02/2017,594.68
21/02/2017,390.01
22/02/2017,382.47
23/02/2017,229.34
26/02/2017,301.83
27/02/2017,361.25
28/02/2017,674.4
01/03/2017,443.28
02/03/2017,347.25
03/03/2017,226.58
04/03/2017,232.15
05/03/2017,288.25
06/03/2017,326.19
07/03/2017,487.17
08/03/2017,287.72
11/03/2017,187.47
12/03/2017,250.04
13/03/2017,272.7
14/03/2017,865.83
15/03/2017,761.92
16/03/2017,643.88
17/03/2017,447.45
18/03/2017,439.11
19/03/2017,695.69
20/03/2017,631.79
21/03/2017,760.3
22/03/2017,654.66
23/03/2017,646.35
24/03/2017,391.01
25/03/2017,373.55
26/03/2017,353.75
27/03/2017,302.08
28/03/2017,394.09
29/03/2017,411.6
30/03/2017,297.02
31/03/2017,423.05
01/04/2017,417.84
02/04/2017,318.54
03/04/2017,297.48
04/04/2017,494.35
05/04/2017,289.76
06/04/2017,395.68
07/04/2017,717.62
08/04/2017,641.74
09/04/2017,293.03
10/04/2017,375.26
11/04/2017,375.1
12/04/2017,469.79
13/04/2017,624.94
14/04/2017,727.06
15/04/2017,755.75
16/04/2017,633.47
17/04/2017,492.54
18/04/2017,650.26
19/04/2017,758.19
20/04/2017,895.75
21/04/2017,516.93
23/04/2017,479.6
24/04/2017,405.06
25/04/2017,626.7
26/04/2017,354.73
27/04/2017,427.65
28/04/2017,511.75
29/04/2017,490.96
30/04/2017,309.95
01/05/2017,320.54
02/05/2017,701.28
03/05/2017,586.99
04/05/2017,459.48
05/05/2017,609.51
06/05/2017,566.35
07/05/2017,608.17
