Date,Concentration
09/02/2016,1.06
10/02/2016,0.75
11/02/2016,1.66
12/02/2016,1.04
13/02/2016,1.86
14/02/2016,1.18
15/02/2016,1.03
16/02/2016,0.92
17/02/2016,0.99
18/02/2016,1.14
19/02/2016,0.88
20/02/2016,1.32
21/02/2016,2.77
22/02/2016,2.5
24/02/2016,1.09
25/02/2016,1.95
29/02/2016,1.16
01/03/2016,0.54
02/03/2016,0.5
03/03/2016,1.03
06/03/2016,1.2
07/03/2016,1.29
08/03/2016,1.6
09/03/2016,1.6
10/03/2016,0.86
16/03/2016,2.11
17/03/2016,1.67
20/03/2016,1.52
21/03/2016,2.2
22/03/2016,3.84
23/03/2016,2.25
25/03/2016,3.07
26/03/2016,2.09
28/03/2016,2.02
29/03/2016,1.57
30/03/2016,1.72
03/04/2016,1.4
04/04/2016,0.72
06/04/2016,1.64
07/04/2016,1.85
08/04/2016,1.5
09/04/2016,1.28
10/04/2016,1.38
11/04/2016,2.88
12/04/2016,3.23
13/04/2016,3.01
14/04/2016,2.23
15/04/2016,1.73
17/04/2016,0.83
18/04/2016,1.78
19/04/2016,1.46
20/04/2016,2.65
21/04/2016,3.83
24/04/2016,3.29
25/04/2016,1.7
26/04/2016,1.04
27/04/2016,0.97
28/04/2016,1.69
29/04/2016,1.66
03/05/2016,2.64
04/05/2016,2.65
05/05/2016,3.65
06/05/2016,1.75
07/05/2016,1.82
08/05/2016,2.94
09/05/2016,3.95
10/05/2016,3.79
11/05/2016,2.67
12/05/2016,1.37
13/05/2016,1.53
14/05/2016,1.1
15/05/2016,1.24
16/05/2016,1.71
17/05/2016,2
18/05/2016,1.62
19/05/2016,3.81
20/05/2016,3.86
21/05/2016,4.19
30/05/2016,1.32
31/05/2016,1.57
01/06/2016,1.63
02/06/2016,1.92
03/06/2016,1.33
04/06/2016,1.98
05/06/2016,3.99
06/06/2016,3.49
07/06/2016,3.83
08/06/2016,3.33
09/06/2016,3.13
10/06/2016,2.35
11/06/2016,1.82
12/06/2016,1.57
13/06/2016,2.13
14/06/2016,2.28
15/06/2016,2.48
16/06/2016,3.9
17/06/2016,2.73
18/06/2016,3.92
19/06/2016,3.5
20/06/2016,3.11
21/06/2016,3.13
22/06/2016,2.94
23/06/2016,1.9
24/06/2016,1.8
25/06/2016,3.62
26/06/2016,3.55
27/06/2016,3.65
28/06/2016,2.41
29/06/2016,3.18
30/06/2016,2.44
01/07/2016,2.24
02/07/2016,1.65
03/07/2016,1.6
04/07/2016,1.48
05/07/2016,1.42
06/07/2016,2.47
07/07/2016,2.46
08/07/2016,1.91
09/07/2016,2.45
10/07/2016,1.52
11/07/2016,2.48
12/07/2016,1.87
13/07/2016,1.91
15/07/2016,1.26
16/07/2016,1.21
17/07/2016,1.01
18/07/2016,1.11
19/07/2016,1.72
20/07/2016,1.59
21/07/2016,1.5
22/07/2016,2.59
23/07/2016,3.53
24/07/2016,1.64
25/07/2016,1.25
26/07/2016,2.41
27/07/2016,2.78
28/07/2016,1.78
29/07/2016,1.18
30/07/2016,1.47
31/07/2016,1.58
01/08/2016,2.66
